id,type,ts,cpu,mem
cpu,1,1705666135720000000,0.007807,6656000
cpu,1,1705666138102000000,0.009434,6656000
cpu,1,1705666140466000000,0.007578,6656000
cpu,1,1705666143108000000,0.007745,6660096
cpu,1,1705666145908000000,0.009412,6660096
cpu,1,1705666148431000000,0.009129,6660096
cpu,1,1705666150738000000,0.007529,6660096
cpu,1,1705666153045000000,0.009024,6660096
cpu,1,1705666155735000000,0.009045,6660096
cpu,1,1705666158279000000,0.008928,6660096
cpu,1,1705666160587000000,0.008695,6660096
cpu,1,1705666162852000000,0.008408,6660096
cpu,1,1705666165184000000,0.008868,6660096
cpu,1,1705666167720000000,0.008853,6660096
cpu,1,1705666170284000000,0.009320,6660096
cpu,1,1705666172552000000,0.009183,6660096
cpu,1,1705666174851000000,0.008762,6656000
cpu,1,1705666177483000000,0.010434,6660096
cpu,1,1705666180094000000,0.009008,6660096
cpu,1,1705666182303000000,0.010801,6660096
cpu,1,1705666184701000000,0.009368,6656000
cpu,1,1705666187471000000,0.010235,6660096
cpu,1,1705666189745000000,0.008762,6660096
cpu,1,1705666192050000000,0.010577,6660096
cpu,1,1705666194396000000,0.008983,6656000
cpu,1,1705666196981000000,0.008733,6656000
cpu,1,1705666199185000000,0.008082,6660096
cpu,1,1705666201482000000,0.008341,6660096
cpu,1,1705666203686000000,0.009750,6656000
cpu,1,1705666206201000000,0.008106,6787072
cpu,1,1705666208447000000,0.008733,6660096
cpu,1,1705666210732000000,0.008607,6660096
cpu,1,1705666213119000000,0.008502,6656000
cpu,1,1705666215329000000,0.008072,6656000
cpu,1,1705666217797000000,0.006841,6656000
cpu,1,1705666219995000000,0.007960,6656000
cpu,1,1705666222189000000,0.008987,6656000
cpu,1,1705666224395000000,0.009918,6660096
cpu,1,1705666226706000000,0.008782,6660096
cpu,1,1705666228893000000,0.008863,6656000
cpu,1,1705666231119000000,0.010248,6660096
cpu,1,1705666233328000000,0.010586,6660096
cpu,1,1705666235780000000,0.008511,6660096
cpu,1,1705666238181000000,0.009168,6782976
cpu,1,1705666240623000000,0.008737,6782976
cpu,1,1705666243009000000,0.010870,6787072
cpu,1,1705666245215000000,0.008979,6660096
cpu,1,1705666247434000000,0.010312,6782976
cpu,1,1705666249900000000,0.009148,6660096
cpu,1,1705666252101000000,0.008754,6660096
cpu,1,1705666254298000000,0.009347,6660096
cpu,1,1705666257054000000,0.008899,6787072
cpu,1,1705666259539000000,0.008942,6660096
cpu,1,1705666261947000000,0.011392,6787072
cpu,1,1705666264246000000,0.010661,6660096
cpu,1,1705666266880000000,0.007053,6660096
cpu,1,1705666269458000000,0.008924,6656000
cpu,1,1705666272028000000,0.009079,6656000
cpu,1,1705666274463000000,0.009755,6660096
cpu,1,1705666277093000000,0.009211,6782976
cpu,1,1705666279661000000,0.011049,6782976
cpu,1,1705666282279000000,0.010759,6664192
cpu,1,1705666284490000000,0.009111,6656000
cpu,1,1705666286816000000,0.009128,6656000
cpu,1,1705666289250000000,0.008883,6660096
cpu,1,1705666291654000000,0.008878,6660096
cpu,1,1705666293865000000,0.007205,6660096
cpu,1,1705666296374000000,0.008818,6660096
cpu,1,1705666298687000000,0.010030,6660096
cpu,1,1705666301328000000,0.007951,6660096
cpu,1,1705666304025000000,0.009019,6656000
cpu,1,1705666306620000000,0.007126,6656000
cpu,1,1705666309125000000,0.007166,6660096
cpu,1,1705666311437000000,0.007093,6660096
cpu,1,1705666314079000000,0.008931,6656000
cpu,1,1705666316456000000,0.007301,6656000
cpu,1,1705666318664000000,0.009328,6782976
cpu,1,1705666320862000000,0.007291,6660096
cpu,1,1705666323156000000,0.007432,6660096
cpu,1,1705666325948000000,0.007938,6656000
cpu,1,1705666328548000000,0.010182,6656000
cpu,1,1705666331033000000,0.008751,6656000
cpu,1,1705666333656000000,0.010389,6660096
cpu,1,1705666336219000000,0.009260,6656000
cpu,1,1705666338626000000,0.008913,6656000
cpu,1,1705666341190000000,0.008699,6660096
cpu,1,1705666344204000000,0.009104,6656000
cpu,1,1705666346837000000,0.008930,6656000
cpu,1,1705666349436000000,0.010211,6660096
cpu,1,1705666351703000000,0.008438,6660096
cpu,1,1705666354150000000,0.008115,6660096
cpu,1,1705666356446000000,0.008098,6660096
cpu,1,1705666358823000000,0.008091,6660096
cpu,1,1705666361443000000,0.007926,6660096
cpu,1,1705666364130000000,0.009906,6664192
cpu,1,1705666366271000000,0.008935,6660096
cpu,1,1705666368722000000,0.010377,6660096
cpu,1,1705666370934000000,0.008763,6660096
cpu,1,1705666373334000000,0.009855,6664192
cpu,1,1705666375791000000,0.009819,6660096
cpu,1,1705666378222000000,0.008158,6660096
cpu,1,1705666380738000000,0.008581,6656000
cpu,1,1705666383360000000,0.007983,6656000
cpu,1,1705666386165000000,0.008343,6660096
cpu,1,1705666388769000000,0.009902,6660096
cpu,1,1705666391408000000,0.008572,6656000
cpu,1,1705666393990000000,0.006753,6656000
cpu,1,1705666396585000000,0.008238,6660096
cpu,1,1705666399651000000,0.010021,6660096
cpu,1,1705666402282000000,0.008241,6656000
cpu,1,1705666404783000000,0.010553,6660096
cpu,1,1705666407400000000,0.008743,6660096
cpu,1,1705666410106000000,0.008427,6656000
cpu,1,1705666412471000000,0.008628,6656000
cpu,1,1705666415147000000,0.007951,6660096
cpu,1,1705666417589000000,0.009147,6660096
cpu,1,1705666420163000000,0.009587,6656000
cpu,1,1705666422485000000,0.007983,6656000
cpu,1,1705666425067000000,0.009577,6660096
cpu,1,1705666427542000000,0.007837,6660096
